# Directed graph (each unordered pair of nodes is saved once): CA-HepTh.txt 
# Collaboration network of Arxiv High Energy Physics Theory category (there is an edge if authors coauthored at least one paper)
# Nodes: 9877 Edges: 51971
# FromNodeId	ToNodeId
24325	24394
24325	40517
24325	58507
24394	3737
24394	3905
24394	7237
24394	12715
24394	13648
24394	13659
24394	13664
24394	14304
24394	14823
24394	17370
24394	18956
24394	19615
24394	19660
24394	21669
24394	23106
24394	24325
24394	24832
24394	26021
24394	26363
24394	28240
24394	35376
24394	35424
24394	36383
24394	36860
24394	37616
24394	37932
24394	39984
24394	41687
24394	44934
24394	48192
24394	51464
24394	55079
24394	58507
24394	59077
24394	59471
24394	59870
24394	61742
24394	61796
24394	62227
24394	65346
24394	66689
24394	67851
24897	30545
24897	42653
42653	1182
42653	3175
42653	5379
42653	24897
42653	33426
42653	34071
42653	36192
42653	39688
42653	63113
42653	65086
42653	66829
42653	68041
44934	554
44934	3088
44934	4503
44934	4521
44934	5379
44934	6142
44934	9117
44934	11180
44934	12715
44934	12981
44934	13648
44934	13769
44934	17370
44934	20394
44934	21477
44934	21669
44934	22916
44934	24295
44934	24394
44934	28268
44934	33726
44934	36860
44934	40894
44934	44594
44934	45385
44934	46139
44934	49541
44934	50970
44934	53159
44934	55835
44934	56948
44934	57628
44934	60251
44934	60797
44934	63113
44934	67012
53159	1441
53159	3306
53159	15089
53159	22916
53159	22990
53159	25318
53159	25406
53159	25750
53159	25902
53159	28406
53159	28440
53159	29941
53159	33454
53159	39659
53159	40187
53159	42018
53159	44934
53159	59205
33426	1444
33426	4189
33426	5338
33426	12698
33426	14425
33426	15946
33426	19172
33426	22014
33426	29017
33426	30982
33426	34121
33426	35725
33426	35863
33426	40691
33426	41588
33426	42653
33426	45556
33426	52121
33426	52622
33426	56995
33426	57145
33426	63113
33426	65086
57145	3029
57145	5338
57145	33426
57145	39076
57738	554
57738	2394
57738	2470
57738	6975
57738	17554
57738	17702
57738	18533
57738	20532
57738	22552
57738	26021
57738	27926
57738	29761
57738	33137
57738	34596
57738	35059
57738	35280
57738	36860
57738	45385
57738	47226
57738	54118
57738	60926
